entry_id,contest_id,contest_name,entry_fee,P,C/1B,2B,3B,SS,OF,OF,OF,UTIL,"","Instructions"
"3672245601","127566-279197667","$6K Thu MLB Wiffle Ball (150 Entries Max)","0.05","","","","","","","","","","","1) Edit your lineup by inserting any player from this list into their appropriate position columns"
"3672245602","127566-279197667","$6K Thu MLB Wiffle Ball (150 Entries Max)","0.05","","","","","","","","","","","2) You can paste either the Player ID + Name OR ID from their respective columns"
"3672245604","127566-279197667","$6K Thu MLB Wiffle Ball (150 Entries Max)","0.05","","","","","","","","","","","3) Any information to the right of the last position column will be ignored in the upload. Don't leave blank rows. Any entries after a blank row will not be edited"
"3672245607","127566-279197667","$6K Thu MLB Wiffle Ball (150 Entries Max)","0.05","","","","","","","","","","","4) You can not use this form to create new entries"
"3672245609","127566-279197667","$6K Thu MLB Wiffle Ball (150 Entries Max)","0.05","","","","","","","","","",""
"3672245611","127566-279197667","$6K Thu MLB Wiffle Ball (150 Entries Max)","0.05","","","","","","","","","","",Player ID + Player Name,Id,Position,First Name,Nickname,Last Name,FPPG,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details,Tier,Probable Pitcher,Batting Order,Roster Position
"3672245451","127566-279197668","$10K Thu MLB Pinch Hit (Only $0.25 to Enter)","0.25","","","","","","","","","","",127566-102419:Cole Winn,127566-102419,P,Cole,Cole Winn,Winn,6.333333333333333,33,5500,TEX@PHI,TEX,PHI,,,,,,P
"3672245453","127566-279197668","$10K Thu MLB Pinch Hit (Only $0.25 to Enter)","0.25","","","","","","","","","","",127566-161827:Seth Martinez,127566-161827,P,Seth,Seth Martinez,Martinez,3.3333333333333335,6,5500,BOS@CIN,BOS,CIN,,,,,,P
"3672245454","127566-279197668","$10K Thu MLB Pinch Hit (Only $0.25 to Enter)","0.25","","","","","","","","","","",127566-155687:Andrew Wantz,127566-155687,P,Andrew,Andrew Wantz,Wantz,10,1,5500,TB@STL,TB,STL,,,,,,P
"3672245455","127566-279197668","$10K Thu MLB Pinch Hit (Only $0.25 to Enter)","0.25","","","","","","","","","","",127566-102440:Mike Baumann,127566-102440,P,Mike,Mike Baumann,Baumann,4.709090909090909,57,5500,PIT@NYM,NYM,PIT,,,,,,P
"3672245456","127566-279197668","$10K Thu MLB Pinch Hit (Only $0.25 to Enter)","0.25","","","","","","","","","","",127566-102448:Brenan Hanifee,127566-102448,P,Brenan,Brenan Hanifee,Hanifee,4.636363636363637,55,5500,DET@SD,DET,SD,,,,,,P
"3672245458","127566-279197668","$10K Thu MLB Pinch Hit (Only $0.25 to Enter)","0.25","","","","","","","","","","",127566-102462:Lyon Richardson,127566-102462,P,Lyon,Lyon Richardson,Richardson,4.5625,34,5500,BOS@CIN,CIN,BOS,,,,,,P
"3672245459","127566-279197668","$10K Thu MLB Pinch Hit (Only $0.25 to Enter)","0.25","","","","","","","","","","",127566-200764:Cam Booser,127566-200764,P,Cam,Cam Booser,Booser,3.923076923076923,39,5500,TB@STL,TB,STL,,,,,,P
"3672245462","127566-279197668","$10K Thu MLB Pinch Hit (Only $0.25 to Enter)","0.25","","","","","","","","","","",127566-102464:Jacob Heatherly,127566-102464,P,Jacob,Jacob Heatherly,Heatherly,,0,5500,CWS@MIL,CWS,MIL,,,,,0,P
"3672245465","127566-279197668","$10K Thu MLB Pinch Hit (Only $0.25 to Enter)","0.25","","","","","","","","","","",127566-102470:Rico Garcia,127566-102470,P,Rico,Rico Garcia,Garcia,6.241379310344827,29,5500,MIN@BAL,BAL,MIN,,,,,,P
"3672245467","127566-279197668","$10K Thu MLB Pinch Hit (Only $0.25 to Enter)","0.25","","","","","","","","","","",127566-135262:Anthony Misiewicz,127566-135262,P,Anthony,Anthony Misiewicz,Misiewicz,3.5,5,5500,BOS@CIN,CIN,BOS,,,,,,P
"3672245469","127566-279197668","$10K Thu MLB Pinch Hit (Only $0.25 to Enter)","0.25","","","","","","","","","","",127566-73828:Dan Altavilla,127566-73828,P,Dan,Dan Altavilla,Altavilla,4.666666666666667,28,5500,MIN@BAL,MIN,BAL,,,,,,P
"3672245471","127566-279197668","$10K Thu MLB Pinch Hit (Only $0.25 to Enter)","0.25","","","","","","","","","","",127566-102500:Robert Dugger,127566-102500,P,Robert,Robert Dugger,Dugger,,0,5500,TEX@PHI,TEX,PHI,,,,,,P
"3672245472","127566-279197668","$10K Thu MLB Pinch Hit (Only $0.25 to Enter)","0.25","","","","","","","","","","",127566-102503:John Rooney,127566-102503,P,John,John Rooney,Rooney,7,1,5500,TB@STL,TB,STL,DTD,Elbow,,,,P
"3672245473","127566-279197668","$10K Thu MLB Pinch Hit (Only $0.25 to Enter)","0.25","","","","","","","","","","",127566-157796:Gabe Klobosits,127566-157796,P,Gabe,Gabe Klobosits,Klobosits,,0,5500,WSH@CHC,CHC,WSH,,,,,,P
"3672245474","127566-279197668","$10K Thu MLB Pinch Hit (Only $0.25 to Enter)","0.25","","","","","","","","","","",127566-102505:Edwin Uceta,127566-102505,P,Edwin,Edwin Uceta,Uceta,7.1571428571428575,70,5500,TB@STL,TB,STL,IL,Shoulder,,,,P
"3672245475","127566-279197668","$10K Thu MLB Pinch Hit (Only $0.25 to Enter)","0.25","","","","","","","","","","",127566-116847:Cole Sulser,127566-116847,P,Cole,Cole Sulser,Sulser,7.277777777777778,18,5500,TB@STL,TB,STL,,,,,,P
"3672245476","127566-279197668","$10K Thu MLB Pinch Hit (Only $0.25 to Enter)","0.25","","","","","","","","","","",127566-194675:Luke Little,127566-194675,P,Luke,Luke Little,Little,8.5,2,5500,WSH@CHC,CHC,WSH,,,,,,P
"3672245483","127566-279197668","$10K Thu MLB Pinch Hit (Only $0.25 to Enter)","0.25","","","","","","","","","","",127566-102515:Aaron Ashby,127566-102515,P,Aaron,Aaron Ashby,Ashby,8.78,50,5500,CWS@MIL,MIL,CWS,,,,,,P
"3672245484","127566-279197668","$10K Thu MLB Pinch Hit (Only $0.25 to Enter)","0.25","","","","","","","","","","",127566-135281:Bryan Baker,127566-135281,P,Bryan,Bryan Baker,Baker,5.361111111111111,73,5500,TB@STL,TB,STL,,,,,,P
"3672245485","127566-279197668","$10K Thu MLB Pinch Hit (Only $0.25 to Enter)","0.25","","","","","","","","","","",127566-159857:Jose Marte,127566-159857,P,Jose,Jose Marte,Marte,6.071428571428571,14,5500,PIT@NYM,NYM,PIT,DTD,Shoulder,,,,P
"3672245487","127566-279197668","$10K Thu MLB Pinch Hit (Only $0.25 to Enter)","0.25","","","","","","","","","","",127566-102517:Jhoan Duran,127566-102517,P,Jhoan,Jhoan Duran,Duran,6.52054794520548,75,5500,TEX@PHI,PHI,TEX,,,,,,P
"3672245488","127566-279197668","$10K Thu MLB Pinch Hit (Only $0.25 to Enter)","0.25","","","","","","","","","","",127566-102523:Deivi Garcia,127566-102523,P,Deivi,Deivi Garcia,Garcia,4.285714285714286,14,5500,BOS@CIN,CIN,BOS,,,,,,P
"3672245489","127566-279197668","$10K Thu MLB Pinch Hit (Only $0.25 to Enter)","0.25","","","","","","","","","","",127566-135289:Kodi Whitley,127566-135289,P,Kodi,Kodi Whitley,Whitley,,0,5500,TB@STL,TB,STL,,,,,,P
"3672245490","127566-279197668","$10K Thu MLB Pinch Hit (Only $0.25 to Enter)","0.25","","","","","","","","","","",127566-178306:Bryan Hoeing,127566-178306,P,Bryan,Bryan Hoeing,Hoeing,5.142857142857143,7,5500,DET@SD,SD,DET,IL,Elbow,,,,P
"3672245491","127566-279197668","$10K Thu MLB Pinch Hit (Only $0.25 to Enter)","0.25","","","","","","","","","","",127566-135300:Wandisson Charles,127566-135300,P,Wandisson,Wandisson Charles,Charles,,0,5500,DET@SD,DET,SD,,,,,,P
"3672245492","127566-279197668","$10K Thu MLB Pinch Hit (Only $0.25 to Enter)","0.25","","","","","","","","","","",127566-231563:Dugan Darnell,127566-231563,P,Dugan,Dugan Darnell,Darnell,4.555555555555555,9,5500,DET@SD,DET,SD,DTD,Hip,,,,P
"3672245493","127566-279197668","$10K Thu MLB Pinch Hit (Only $0.25 to Enter)","0.25","","","","","","","","","","",127566-135304:Tyler Baum,127566-135304,P,Tyler,Tyler Baum,Baum,,0,5500,WSH@CHC,WSH,CHC,,,,,,P
"3672245494","127566-279197668","$10K Thu MLB Pinch Hit (Only $0.25 to Enter)","0.25","","","","","","","","","","",127566-194696:Enmanuel De Jesus,127566-194696,P,Enmanuel,Enmanuel De Jesus,De Jesus,,0,5500,DET@SD,DET,SD,,,,,,P
"3672245495","127566-279197668","$10K Thu MLB Pinch Hit (Only $0.25 to Enter)","0.25","","","","","","","","","","",127566-73866:Wandy Peralta,127566-73866,P,Wandy,Wandy Peralta,Peralta,5.054794520547945,73,5500,DET@SD,SD,DET,,,,,,P
"3672245497","127566-279197668","$10K Thu MLB Pinch Hit (Only $0.25 to Enter)","0.25","","","","","","","","","","",127566-135313:Nick Sandlin,127566-135313,P,Nick,Nick Sandlin,Sandlin,4.473684210526316,19,5500,LAA@HOU,LAA,HOU,,,,,,P
"3672245498","127566-279197668","$10K Thu MLB Pinch Hit (Only $0.25 to Enter)","0.25","","","","","","","","","","",127566-170135:Yennier Cano,127566-170135,P,Yennier,Yennier Cano,Cano,3.876923076923077,65,5500,MIN@BAL,BAL,MIN,,,,,,P
"3672245500","127566-279197668","$10K Thu MLB Pinch Hit (Only $0.25 to Enter)","0.25","","","","","","","","","","",127566-80033:Emilio Pagan,127566-80033,P,Emilio,Emilio Pagan,Pagan,5.642857142857143,70,5500,BOS@CIN,CIN,BOS,,,,,,P
"3672245502","127566-279197668","$10K Thu MLB Pinch Hit (Only $0.25 to Enter)","0.25","","","","","","","","","","",127566-184482:Hobie Harris,127566-184482,P,Hobie,Hobie Harris,Harris,,0,5500,BOS@CIN,BOS,CIN,O,Forearm,,,,P
"3672245505","127566-279197668","$10K Thu MLB Pinch Hit (Only $0.25 to Enter)","0.25","","","","","","","","","","",127566-80034:Jose Alvarado,127566-80034,P,Jose,Jose Alvarado,Alvarado,6.111111111111111,28,5500,TEX@PHI,PHI,TEX,,,,,,P
"3672245507","127566-279197668","$10K Thu MLB Pinch Hit (Only $0.25 to Enter)","0.25","","","","","","","","","","",127566-12452:Kenley Jansen,127566-12452,P,Kenley,Kenley Jansen,Jansen,5.45,62,5500,DET@SD,DET,SD,,,,,,P
"3672245508","127566-279197668","$10K Thu MLB Pinch Hit (Only $0.25 to Enter)","0.25","","","","","","","","","","",127566-102565:Mason Englert,127566-102565,P,Mason,Mason Englert,Englert,7.464285714285714,30,5500,TB@STL,TB,STL,,,,,,P
"3672245510","127566-279197668","$10K Thu MLB Pinch Hit (Only $0.25 to Enter)","0.25","","","","","","","","","","",127566-102568:Colin Poche,127566-102568,P,Colin,Colin Poche,Poche,2,14,5500,DET@SD,DET,SD,,,,,,P
"3672245514","127566-279197668","$10K Thu MLB Pinch Hit (Only $0.25 to Enter)","0.25","","","","","","","","","","",127566-135339:Clayton Beeter,127566-135339,P,Clayton,Clayton Beeter,Beeter,5.346153846153846,26,5500,WSH@CHC,WSH,CHC,,,,,,P
"3672245516","127566-279197668","$10K Thu MLB Pinch Hit (Only $0.25 to Enter)","0.25","","","","","","","","","","",127566-102570:Sandy Gaston,127566-102570,P,Sandy,Sandy Gaston,Gaston,,0,5500,WSH@CHC,WSH,CHC,,,,,,P
"3672245517","127566-279197668","$10K Thu MLB Pinch Hit (Only $0.25 to Enter)","0.25","","","","","","","","","","",127566-209078:Max Lazar,127566-209078,P,Max,Max Lazar,Lazar,3.9444444444444446,36,5500,TEX@PHI,PHI,TEX,IL,Oblique,,,,P
"3672245519","127566-279197668","$10K Thu MLB Pinch Hit (Only $0.25 to Enter)","0.25","","","","","","","","","","",127566-102582:Nick Raquet,127566-102582,P,Nick,Nick Raquet,Raquet,4.5,2,5500,TB@STL,STL,TB,,,,,,P
"3672245520","127566-279197668","$10K Thu MLB Pinch Hit (Only $0.25 to Enter)","0.25","","","","","","","","","","",127566-135358:Dylan File,127566-135358,P,Dylan,Dylan File,File,,0,5500,DET@SD,DET,SD,,,,,,P
"3672245521","127566-279197668","$10K Thu MLB Pinch Hit (Only $0.25 to Enter)","0.25","","","","","","","","","","",127566-102590:Joey Gerber,127566-102590,P,Joey,Joey Gerber,Gerber,11,2,5500,PIT@NYM,NYM,PIT,,,,,,P
"3672245522","127566-279197668","$10K Thu MLB Pinch Hit (Only $0.25 to Enter)","0.25","","","","","","","","","","",127566-145610:Angel Zerpa,127566-145610,P,Angel,Angel Zerpa,Zerpa,4.529411764705882,69,5500,CWS@MIL,MIL,CWS,,,,,,P
"3672245523","127566-279197668","$10K Thu MLB Pinch Hit (Only $0.25 to Enter)","0.25","","","","","","","","","","",127566-145609:Peter Solomon,127566-145609,P,Peter,Peter Solomon,Solomon,,0,5500,WSH@CHC,CHC,WSH,,,,,,P
"3672245525","127566-279197668","$10K Thu MLB Pinch Hit (Only $0.25 to Enter)","0.25","","","","","","","","","","",127566-198874:Noah Schultz,127566-198874,P,Noah,Noah Schultz,Schultz,,0,5500,CWS@MIL,CWS,MIL,,,,,0,P
"3672245528","127566-279197668","$10K Thu MLB Pinch Hit (Only $0.25 to Enter)","0.25","","","","","","","","","","",127566-145629:Mason Thompson,127566-145629,P,Mason,Mason Thompson,Thompson,2.0714285714285716,14,5500,TEX@PHI,TEX,PHI,,,,,,P
"3672245532","127566-279197668","$10K Thu MLB Pinch Hit (Only $0.25 to Enter)","0.25","","","","","","","","","","",127566-205032:Daniel Robert,127566-205032,P,Daniel,Daniel Robert,Robert,4.4,15,5500,TEX@PHI,PHI,TEX,O,Chest,,,,P
"3672245534","127566-279197668","$10K Thu MLB Pinch Hit (Only $0.25 to Enter)","0.25","","","","","","","","","","",127566-198920:Dylan Lesko,127566-198920,P,Dylan,Dylan Lesko,Lesko,,0,5500,TB@STL,TB,STL,,,,,,P
"3672245536","127566-279197668","$10K Thu MLB Pinch Hit (Only $0.25 to Enter)","0.25","","","","","","","","","","",127566-198936:Tekoah Roby,127566-198936,P,Tekoah,Tekoah Roby,Roby,,0,5500,TB@STL,STL,TB,IL,Elbow,,,,P
"3672245538","127566-279197668","$10K Thu MLB Pinch Hit (Only $0.25 to Enter)","0.25","","","","","","","","","","",127566-209176:Chase Shugart,127566-209176,P,Chase,Chase Shugart,Shugart,5.911764705882353,35,5500,TEX@PHI,PHI,TEX,,,,,,P
"3672245541","127566-279197668","$10K Thu MLB Pinch Hit (Only $0.25 to Enter)","0.25","","","","","","","","","","",127566-157997:Sean Guenther,127566-157997,P,Sean,Sean Guenther,Guenther,4.111111111111111,9,5500,DET@SD,DET,SD,,,,,,P
"3672245543","127566-279197668","$10K Thu MLB Pinch Hit (Only $0.25 to Enter)","0.25","","","","","","","","","","",127566-180540:Easton McGee,127566-180540,P,Easton,Easton McGee,McGee,6.222222222222222,9,5500,CWS@MIL,MIL,CWS,,,,,,P
"3672245546","127566-279197668","$10K Thu MLB Pinch Hit (Only $0.25 to Enter)","0.25","","","","","","","","","","",127566-174406:Huascar Brazoban,127566-174406,P,Huascar,Huascar Brazoban,Brazoban,6.0576923076923075,52,5500,PIT@NYM,NYM,PIT,,,,,,P
"3672245549","127566-279197668","$10K Thu MLB Pinch Hit (Only $0.25 to Enter)","0.25","","","","","","","","","","",127566-203080:Brandon Eisert,127566-203080,P,Brandon,Brandon Eisert,Eisert,4.819444444444445,72,5500,CWS@MIL,CWS,MIL,,,,,0,P
"3672245552","127566-279197668","$10K Thu MLB Pinch Hit (Only $0.25 to Enter)","0.25","","","","","","","","","","",127566-209224:Orlando Ribalta,127566-209224,P,Orlando,Orlando Ribalta,Ribalta,4.136363636363637,22,5500,WSH@CHC,WSH,CHC,,,,,,P
"3672245555","127566-279197668","$10K Thu MLB Pinch Hit (Only $0.25 to Enter)","0.25","","","","","","","","","","",127566-135525:Adam Seminaris,127566-135525,P,Adam,Adam Seminaris,Seminaris,,0,5500,TEX@PHI,PHI,TEX,,,,,,P
"3672245559","127566-279197668","$10K Thu MLB Pinch Hit (Only $0.25 to Enter)","0.25","","","","","","","","","","",127566-153961:Tayler Saucedo,127566-153961,P,Tayler,Tayler Saucedo,Saucedo,4.3,10,5500,LAA@HOU,LAA,HOU,,,,,,P
"3672245562","127566-279197668","$10K Thu MLB Pinch Hit (Only $0.25 to Enter)","0.25","","","","","","","","","","",127566-225666:Paxton Schultz,127566-225666,P,Paxton,Paxton Schultz,Schultz,9.384615384615385,13,5500,WSH@CHC,WSH,CHC,IL,Elbow,,,,P
"3672245563","127566-279197668","$10K Thu MLB Pinch Hit (Only $0.25 to Enter)","0.25","","","","","","","","","","",127566-225665:Sauryn Lao,127566-225665,P,Sauryn,Sauryn Lao,Lao,6,8,5500,MIN@BAL,BAL,MIN,,,,,,P
"3672245566","127566-279197668","$10K Thu MLB Pinch Hit (Only $0.25 to Enter)","0.25","","","","","","","","","","",127566-158131:Tyler Gilbert,127566-158131,P,Tyler,Tyler Gilbert,Gilbert,5.608695652173913,46,5500,CWS@MIL,CWS,MIL,,,,,0,P
"3672245568","127566-279197668","$10K Thu MLB Pinch Hit (Only $0.25 to Enter)","0.25","","","","","","","","","","",127566-188886:Amos Willingham,127566-188886,P,Amos,Amos Willingham,Willingham,0,1,5500,LAA@HOU,HOU,LAA,,,,,,P
"3672245571","127566-279197668","$10K Thu MLB Pinch Hit (Only $0.25 to Enter)","0.25","","","","","","","","","","",127566-225748:Craig Yoho,127566-225748,P,Craig,Craig Yoho,Yoho,3.25,8,5500,CWS@MIL,MIL,CWS,IL,Calf,,,,P
"3672245573","127566-279197668","$10K Thu MLB Pinch Hit (Only $0.25 to Enter)","0.25","","","","","","","","","","",127566-135645:Isaac Mattson,127566-135645,P,Isaac,Isaac Mattson,Mattson,5.976744186046512,44,5500,PIT@NYM,PIT,NYM,,,,,,P
"3672245574","127566-279197668","$10K Thu MLB Pinch Hit (Only $0.25 to Enter)","0.25","","","","","","","","","","",127566-84452:Caleb Ferguson,127566-84452,P,Caleb,Caleb Ferguson,Ferguson,4.225352112676056,73,5500,BOS@CIN,CIN,BOS,IL,Oblique,,,,P
"3672245577","127566-279197668","$10K Thu MLB Pinch Hit (Only $0.25 to Enter)","0.25","","","","","","","","","","",127566-145918:Will Vest,127566-145918,P,Will,Will Vest,Vest,6.594202898550725,69,5500,DET@SD,DET,SD,,,,,,P
"3672245579","127566-279197668","$10K Thu MLB Pinch Hit (Only $0.25 to Enter)","0.25","","","","","","","","","","",127566-145916:Zach Pop,127566-145916,P,Zach,Zach Pop,Pop,-0.8,5,5500,TEX@PHI,PHI,TEX,,,,,,P
"","","","","","","","","","","","","","",127566-219654:Juan Carela,127566-219654,P,Juan,Juan Carela,Carela,,0,5500,CWS@MIL,CWS,MIL,O,Elbow,,,0,P
"","","","","","","","","","","","","","",127566-119310:Noah Song,127566-119310,P,Noah,Noah Song,Song,,0,5500,BOS@CIN,BOS,CIN,,,,,,P
"","","","","","","","","","","","","","",127566-119315:Kohl Franklin,127566-119315,P,Kohl,Kohl Franklin,Franklin,,0,5500,WSH@CHC,CHC,WSH,IL,Elbow,,,,P
"","","","","","","","","","","","","","",127566-170512:Peter Strzelecki,127566-170512,P,Peter,Peter Strzelecki,Strzelecki,5.3,10,5500,CWS@MIL,MIL,CWS,,,,,,P
"","","","","","","","","","","","","","",127566-219665:Matt Svanson,127566-219665,P,Matt,Matt Svanson,Svanson,9.487179487179487,39,5500,TB@STL,STL,TB,,,,,,P
"","","","","","","","","","","","","","",127566-119319:Ryan Jensen,127566-119319,P,Ryan,Ryan Jensen,Jensen,,0,5500,WSH@CHC,CHC,WSH,,,,,,P
"","","","","","","","","","","","","","",127566-191007:Declan Cronin,127566-191007,P,Declan,Declan Cronin,Cronin,6.125,56,5500,TEX@PHI,TEX,PHI,O,Elbow,,,,P
"","","","","","","","","","","","","","",127566-119328:Packy Naughton,127566-119328,P,Packy,Packy Naughton,Naughton,0,2,5500,TB@STL,STL,TB,,,,,,P
"","","","","","","","","","","","","","",127566-16931:Yu Darvish,127566-16931,P,Yu,Yu Darvish,Darvish,20.8125,16,5500,DET@SD,SD,DET,O,Elbow,,,,P
"","","","","","","","","","","","","","",127566-219694:Winston Santos,127566-219694,P,Winston,Winston Santos,Santos,,0,5500,TEX@PHI,TEX,PHI,DTD,Hand,,,,P
"","","","","","","","","","","","","","",127566-219693:Emiliano Teodo,127566-219693,P,Emiliano,Emiliano Teodo,Teodo,,0,5500,TEX@PHI,TEX,PHI,DTD,Back,,,,P
"","","","","","","","","","","","","","",127566-119347:Jonathan Bowlan,127566-119347,P,Jonathan,Jonathan Bowlan,Bowlan,6.470588235294118,34,5500,TEX@PHI,PHI,TEX,,,,,,P
"","","","","","","","","","","","","","",127566-219702:Marco Raya,127566-219702,P,Marco,Marco Raya,Raya,,0,5500,MIN@BAL,MIN,BAL,,,,,,P
"","","","","","","","","","","","","","",127566-219700:Luis Mey,127566-219700,P,Luis,Luis Mey,Mey,4.956521739130435,23,5500,BOS@CIN,CIN,BOS,,,,,,P
"","","","","","","","","","","","","","",127566-219707:Jean Cabrera,127566-219707,P,Jean,Jean Cabrera,Cabrera,,0,5500,TEX@PHI,PHI,TEX,,,,,,P
"","","","","","","","","","","","","","",127566-219705:Moises Chace,127566-219705,P,Moises,Moises Chace,Chace,,0,5500,TEX@PHI,PHI,TEX,O,Elbow,,,,P
"","","","","","","","","","","","","","",127566-195135:Kyle Nicolas,127566-195135,P,Kyle,Kyle Nicolas,Nicolas,5.4,31,5500,BOS@CIN,CIN,BOS,,,,,,P
"","","","","","","","","","","","","","",127566-119367:Matt Canterino,127566-119367,P,Matt,Matt Canterino,Canterino,0,1,5500,MIN@BAL,MIN,BAL,O,Shoulder,,,,P
"","","","","","","","","","","","","","",127566-219723:Omar Cruz,127566-219723,P,Omar,Omar Cruz,Cruz,10,2,5500,DET@SD,SD,DET,,,,,,P
"","","","","","","","","","","","","","",127566-139851:Justin Topa,127566-139851,P,Justin,Justin Topa,Topa,4.722222222222222,54,5500,MIN@BAL,MIN,BAL,,,,,,P
"","","","","","","","","","","","","","",127566-119375:Dedniel Nunez,127566-119375,P,Dedniel,Dedniel Nunez,Nunez,5.222222222222222,10,5500,PIT@NYM,NYM,PIT,IL,Elbow,,,,P
"","","","","","","","","","","","","","",127566-219729:Tyler Mattison,127566-219729,P,Tyler,Tyler Mattison,Mattison,,0,5500,DET@SD,DET,SD,,,,,,P
"","","","","","","","","","","","","","",127566-219728:Tyler Owens,127566-219728,P,Tyler,Tyler Owens,Owens,3,3,5500,DET@SD,DET,SD,DTD,Hip,,,,P
"","","","","","","","","","","","","","",127566-119388:Junior Santos,127566-119388,P,Junior,Junior Santos,Santos,,0,5500,WSH@CHC,WSH,CHC,,,,,,P
"","","","","","","","","","","","","","",127566-119397:T.J. Sikkema,127566-119397,P,T.J.,T.J. Sikkema,Sikkema,,0,5500,BOS@CIN,BOS,CIN,,,,,,P
"","","","","","","","","","","","","","",127566-82535:Kyle Wright,127566-82535,P,Kyle,Kyle Wright,Wright,0,1,5500,WSH@CHC,CHC,WSH,,,,,,P
"","","","","","","","","","","","","","",127566-186986:Eduardo Salazar,127566-186986,P,Eduardo,Eduardo Salazar,Salazar,2.5,30,5500,MIN@BAL,MIN,BAL,,,,,,P
"","","","","","","","","","","","","","",127566-184943:Jesse Scholtens,127566-184943,P,Jesse,Jesse Scholtens,Scholtens,23,2,5500,TB@STL,TB,STL,,,,,,P
"","","","","","","","","","","","","","",127566-119406:Cody Bolton,127566-119406,P,Cody,Cody Bolton,Bolton,0,1,5500,LAA@HOU,HOU,LAA,,,,,,P
"","","","","","","","","","","","","","",127566-82546:Adbert Alzolay,127566-82546,P,Adbert,Adbert Alzolay,Alzolay,3.888888888888889,18,5500,PIT@NYM,NYM,PIT,,,,,,P
"","","","","","","","","","","","","","",127566-135798:Garrett Stallings,127566-135798,P,Garrett,Garrett Stallings,Stallings,,0,5500,CWS@MIL,MIL,CWS,,,,,,P
"","","","","","","","","","","","","","",127566-82552:Tony Santillan,127566-82552,P,Tony,Tony Santillan,Santillan,4.9,81,5500,BOS@CIN,CIN,BOS,,,,,,P
"","","","","","","","","","","","","","",127566-119431:Seth Johnson,127566-119431,P,Seth,Seth Johnson,Johnson,7.7,10,5500,TEX@PHI,PHI,TEX,,,,,,P
"","","","","","","","","","","","","","",127566-62087:Miguel Castro,127566-62087,P,Miguel,Miguel Castro,Castro,2.5,6,5500,LAA@HOU,LAA,HOU,,,,,,P
"","","","","","","","","","","","","","",127566-119435:Riley O'Brien,127566-119435,P,Riley,Riley O'Brien,O'Brien,6.439024390243903,42,5500,TB@STL,STL,TB,,,,,,P
"","","","","","","","","","","","","","",127566-82572:Gregory Soto,127566-82572,P,Gregory,Gregory Soto,Soto,4.4714285714285715,70,5500,PIT@NYM,PIT,NYM,,,,,,P
"","","","","","","","","","","","","","",127566-12943:Shelby Miller,127566-12943,P,Shelby,Shelby Miller,Miller,6,48,5500,WSH@CHC,CHC,WSH,IL,Elbow,,,,P
"","","","","","","","","","","","","","",127566-203415:Bryan King,127566-203415,P,Bryan,Bryan King,King,5.5588235294117645,68,5500,LAA@HOU,HOU,LAA,,,,,,P
"","","","","","","","","","","","","","",127566-170647:Jared Koenig,127566-170647,P,Jared,Jared Koenig,Koenig,5.294871794871795,78,5500,CWS@MIL,MIL,CWS,,,,,,P
"","","","","","","","","","","","","","",127566-164500:Ryan Cusick,127566-164500,P,Ryan,Ryan Cusick,Cusick,,0,5500,TEX@PHI,PHI,TEX,,,,,,P
"","","","","","","","","","","","","","",127566-119446:Andry Lara,127566-119446,P,Andry,Andry Lara,Lara,3.4444444444444446,9,5500,WSH@CHC,WSH,CHC,,,,,,P
"","","","","","","","","","","","","","",127566-82584:JB Bukauskas,127566-82584,P,JB,JB Bukauskas,Bukauskas,5.5,6,5500,CWS@MIL,MIL,CWS,DTD,Lat,,,,P
"","","","","","","","","","","","","","",127566-82587:Richard Lovelady,127566-82587,P,Richard,Richard Lovelady,Lovelady,3.8,10,5500,PIT@NYM,NYM,PIT,,,,,,P
"","","","","","","","","","","","","","",127566-82592:Dennis Santana,127566-82592,P,Dennis,Dennis Santana,Santana,5.2,70,5500,PIT@NYM,PIT,NYM,,,,,,P
"","","","","","","","","","","","","","",127566-164517:Chris Murphy,127566-164517,P,Chris,Chris Murphy,Murphy,7.6521739130434785,23,5500,CWS@MIL,CWS,MIL,,,,,0,P
"","","","","","","","","","","","","","",127566-164522:Wikelman Gonzalez,127566-164522,P,Wikelman,Wikelman Gonzalez,Gonzalez,7.75,16,5500,CWS@MIL,CWS,MIL,DTD,Back,,,0,P
"","","","","","","","","","","","","","",127566-84651:Austin Davis,127566-84651,P,Austin,Austin Davis,Davis,2.5714285714285716,7,5500,DET@SD,SD,DET,,,,,,P
"","","","","","","","","","","","","","",127566-211632:Mason Montgomery,127566-211632,P,Mason,Mason Montgomery,Montgomery,4.5,57,5500,PIT@NYM,PIT,NYM,,,,,,P
"","","","","","","","","","","","","","",127566-240308:Daison Acosta,127566-240308,P,Daison,Daison Acosta,Acosta,,0,5500,DET@SD,SD,DET,,,,,,P
"","","","","","","","","","","","","","",127566-80571:Phil Maton,127566-80571,P,Phil,Phil Maton,Maton,6.253968253968254,63,5500,WSH@CHC,CHC,WSH,,,,,,P
"","","","","","","","","","","","","","",127566-240313:Alec Gamboa,127566-240313,P,Alec,Alec Gamboa,Gamboa,,0,5500,BOS@CIN,BOS,CIN,,,,,,P
"","","","","","","","","","","","","","",127566-232127:Cam Sanders,127566-232127,P,Cam,Cam Sanders,Sanders,2.3333333333333335,6,5500,PIT@NYM,PIT,NYM,,,,,,P
